,Price,year,month,day
172,2.7800000000000002,1997,9,11
173,2.8600000000000008,1997,9,12
174,2.88,1997,9,15
175,2.829999999999999,1997,9,16
176,2.75,1997,9,17
177,2.84,1997,9,18
178,2.9400000000000013,1997,9,19
179,2.979999999999999,1997,9,22
180,3.09,1997,9,23
181,3.03,1997,9,24
182,3.0500000000000003,1997,9,25
183,3.2399999999999993,1997,9,26
184,3.09,1997,9,29
185,2.96,1997,9,30
186,3.0800000000000005,1997,10,1
187,2.9700000000000006,1997,10,2
188,2.9099999999999997,1997,10,3
189,2.96,1997,10,6
190,2.8100000000000005,1997,10,7
191,2.7999999999999994,1997,10,8
192,2.7999999999999994,1997,10,9
193,2.7800000000000002,1997,10,10
194,2.8700000000000006,1997,10,13
195,2.84,1997,10,14
196,2.84,1997,10,15
197,2.9400000000000013,1997,10,16
198,2.9700000000000006,1997,10,17
199,3.0500000000000003,1997,10,20
200,3.1299999999999986,1997,10,21
201,3.2399999999999993,1997,10,22
202,3.3399999999999994,1997,10,23
203,3.2899999999999996,1997,10,24
204,3.46,1997,10,27
205,3.61,1997,10,28
206,3.449999999999999,1997,10,29
207,3.3399999999999994,1997,10,30
208,3.2199999999999993,1997,10,31
209,3.23,1997,11,3
210,3.150000000000001,1997,11,4
211,3.180000000000001,1997,11,5
212,3.2,1997,11,6
213,3.0500000000000003,1997,11,7
214,3.2,1997,11,10
215,3.26,1997,11,11
216,3.2800000000000007,1997,11,12
217,3.2699999999999996,1997,11,13
218,3.25,1997,11,14
219,3.0999999999999996,1997,11,17
220,3.0,1997,11,18
221,2.9700000000000006,1997,11,19
222,2.7700000000000005,1997,11,20
223,2.589999999999999,1997,11,21
224,2.6300000000000003,1997,11,24
225,2.51,1997,11,25
226,2.5,1997,11,26
227,2.520000000000001,1997,12,1
228,2.610000000000001,1997,12,2
229,2.5299999999999994,1997,12,3
230,2.48,1997,12,4
231,2.420000000000001,1997,12,5
232,2.299999999999999,1997,12,8
233,2.3500000000000005,1997,12,9
